"Cell.ID"	"Condition"
"III_E11_S59_R1_001"	"OD 2.0"
"III_E12_S60_R1_001"	"OD 2.0"
"III_E2_S50_R1_001"	"OD 0.1"
"III_E3_S51_R1_001"	"OD 0.1"
"III_E4_S52_R1_001"	"OD 0.3"
"III_E5_S53_R1_001"	"OD 0.3"
"III_E6_S54_R1_001"	"OD 0.3"
"III_E7_S55_R1_001"	"OD 1.0"
"III_E8_S56_R1_001"	"OD 1.0"
"III_E9_S57_R1_001"	"OD 1.0"
"III_F1_S61_R1_001"	"OD 0.1"
"III_F10_S70_R1_001"	"OD 2.0"
"III_F11_S71_R1_001"	"OD 2.0"
"III_F12_S72_R1_001"	"OD 2.0"
"III_F2_S62_R1_001"	"OD 0.1"
"III_F3_S63_R1_001"	"OD 0.1"
"III_F4_S64_R1_001"	"OD 0.3"
"III_F5_S65_R1_001"	"OD 0.3"
"III_F6_S66_R1_001"	"OD 0.3"
"III_F7_S67_R1_001"	"OD 1.0"
"III_F8_S68_R1_001"	"OD 1.0"
"III_F9_S69_R1_001"	"OD 1.0"
"III_G1_S73_R1_001"	"OD 0.1"
"III_G10_S82_R1_001"	"OD 2.0"
"III_G11_S83_R1_001"	"OD 2.0"
"III_G12_S84_R1_001"	"OD 2.0"
"III_G2_S74_R1_001"	"OD 0.1"
"III_G3_S75_R1_001"	"OD 0.1"
"III_G4_S76_R1_001"	"OD 0.3"
"III_G5_S77_R1_001"	"OD 0.3"
"III_G6_S78_R1_001"	"OD 0.3"
"III_G7_S79_R1_001"	"OD 1.0"
"III_G8_S80_R1_001"	"OD 1.0"
"III_G9_S81_R1_001"	"OD 1.0"
"III_H1_S85_R1_001"	"OD 0.1"
"III_H10_S94_R1_001"	"OD 2.0"
"III_H11_S95_R1_001"	"OD 2.0"
"III_H12_S96_R1_001"	"OD 2.0"
"III_H2_S86_R1_001"	"OD 0.1"
"III_H3_S87_R1_001"	"OD 0.1"
"III_H4_S88_R1_001"	"OD 0.3"
"III_H5_S89_R1_001"	"OD 0.3"
"III_H6_S90_R1_001"	"OD 0.3"
"III_H7_S91_R1_001"	"OD 1.0"
"III_H8_S92_R1_001"	"OD 1.0"
"III_H9_S93_R1_001"	"OD 1.0"
"IV_A1_S97_R1_001"	"OD 0.3"
"IV_A10_S106_R1_001"	"OD 0.1"
"IV_A11_S107_R1_001"	"OD 0.1"
"IV_A12_S108_R1_001"	"OD 0.1"
"IV_A2_S98_R1_001"	"OD 0.3"
"IV_A3_S99_R1_001"	"OD 0.3"
"IV_A4_S100_R1_001"	"OD 1.0"
"IV_A5_S101_R1_001"	"OD 1.0"
"IV_A6_S102_R1_001"	"OD 1.0"
"IV_A7_S103_R1_001"	"OD 2.0"
"IV_A8_S104_R1_001"	"OD 2.0"
"IV_A9_S105_R1_001"	"OD 2.0"
"IV_B1_S109_R1_001"	"OD 0.3"
"IV_B10_S118_R1_001"	"OD 0.1"
"IV_B11_S119_R1_001"	"OD 0.1"
"IV_B12_S120_R1_001"	"OD 0.1"
"IV_B2_S110_R1_001"	"OD 0.3"
"IV_B3_S111_R1_001"	"OD 0.3"
"IV_B4_S112_R1_001"	"OD 1.0"
"IV_B5_S113_R1_001"	"OD 1.0"
"IV_B6_S114_R1_001"	"OD 1.0"
"IV_B7_S115_R1_001"	"OD 2.0"
"IV_B8_S116_R1_001"	"OD 2.0"
"IV_B9_S117_R1_001"	"OD 2.0"
"IV_C1_S121_R1_001"	"OD 0.3"
"IV_C10_S130_R1_001"	"OD 0.1"
"IV_C11_S131_R1_001"	"OD 0.1"
"IV_C12_S132_R1_001"	"OD 0.1"
"IV_C2_S122_R1_001"	"OD 0.3"
"IV_C3_S123_R1_001"	"OD 0.3"
"IV_C4_S124_R1_001"	"OD 1.0"
"IV_C5_S125_R1_001"	"OD 1.0"
"IV_C6_S126_R1_001"	"OD 1.0"
"IV_C7_S127_R1_001"	"OD 2.0"
"IV_C8_S128_R1_001"	"OD 2.0"
"IV_C9_S129_R1_001"	"OD 2.0"
"IV_D1_S133_R1_001"	"OD 0.3"
"IV_D10_S142_R1_001"	"OD 0.1"
"IV_D11_S143_R1_001"	"OD 0.1"
"IV_D12_S144_R1_001"	"OD 0.1"
